millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
11964,11:32:50,SAFETY,7.69,60.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.8510,0.0000,0.0000,0.0000
12064,11:32:51,SAFETY,7.69,60.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.8490,0.0000,0.0000,0.0000
12164,11:32:51,SAFETY,7.69,60.7,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.8320,0.0000,0.0000,0.0000
12264,11:32:51,SAFETY,7.64,58.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.8290,0.0000,0.0000,0.0000
12364,11:32:51,SAFETY,7.64,58.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.8180,0.0000,0.0000,0.0000
12464,11:32:51,SAFETY,7.64,58.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.8110,0.0000,0.0000,0.0000
12564,11:32:51,SAFETY,7.64,58.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.8010,0.0000,0.0000,0.0000
12664,11:32:51,SAFETY,7.64,58.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.7920,0.0000,0.0000,0.0000
12764,11:32:51,SAFETY,7.70,61.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.7830,0.0000,0.0000,0.0000
12864,11:32:51,SAFETY,7.70,61.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.7730,0.0000,0.0000,0.0000
12964,11:32:51,SAFETY,7.70,61.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.7630,0.0000,0.0000,0.0000
13064,11:32:52,SAFETY,7.70,61.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.7570,0.0000,0.0000,0.0000
13164,11:32:52,SAFETY,7.70,61.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.7460,0.0000,0.0000,0.0000
13264,11:32:52,SAFETY,7.62,56.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.7360,0.0000,0.0000,0.0000
13364,11:32:52,SAFETY,7.62,56.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.7290,0.0000,0.0000,0.0000
13464,11:32:52,SAFETY,7.62,56.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.7180,0.0000,0.0000,0.0000
13564,11:32:52,SAFETY,7.62,56.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.7110,0.0000,0.0000,0.0000
13664,11:32:52,SAFETY,7.62,56.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.7030,0.0000,0.0000,0.0000
13764,11:32:52,SAFETY,7.66,59.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.6920,0.0000,0.0000,0.0000
13864,11:32:52,SAFETY,7.66,59.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.6800,0.0000,0.0000,0.0000
13964,11:32:52,SAFETY,7.66,59.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.6660,0.0000,0.0000,0.0000
14064,11:32:53,SAFETY,7.66,59.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.6500,0.0000,0.0000,0.0000
14164,11:32:53,SAFETY,7.66,59.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.6350,0.0000,0.0000,0.0000
14264,11:32:53,SAFETY,7.57,53.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.6220,0.0000,0.0000,0.0000
14364,11:32:53,SAFETY,7.57,53.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.6120,0.0000,0.0000,0.0000
14464,11:32:53,SAFETY,7.57,53.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.6000,0.0000,0.0000,0.0000
14564,11:32:53,SAFETY,7.57,53.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.5980,0.0000,0.0000,0.0000
14664,11:32:53,SAFETY,7.57,53.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.5920,0.0000,0.0000,0.0000
14764,11:32:53,SAFETY,7.66,58.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.5950,0.0000,0.0000,0.0000
14864,11:32:53,SAFETY,7.66,58.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.5950,0.0000,0.0000,0.0000
14964,11:32:53,SAFETY,7.66,58.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.6000,0.0000,0.0000,0.0000
15064,11:32:54,SAFETY,7.66,58.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.6030,0.0000,0.0000,0.0000
15164,11:32:54,SAFETY,7.66,58.6,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.6080,0.0000,0.0000,0.0000
15264,11:32:54,SAFETY,7.64,57.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.6120,0.0000,0.0000,0.0000
15364,11:32:54,SAFETY,7.64,57.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.6190,0.0000,0.0000,0.0000
15464,11:32:54,SAFETY,7.64,57.8,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.6210,0.0000,0.0000,0.0000
